Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions
Impulse,Knoebels Amusement Park & Resort,Steel,55,98,0,1975,0,Yes
HyperSonic XLC,Paramount's Kings Dominion,Steel,80,165,133,1560,0,No
Hurricane,Myrtle Beach Pavilion,Wood,55,101.5,100,3800,120,No
Hurricane,Race City PCB,Steel,35,59,0,1427,86,No
Huracan,Belantis,Steel,52.8,105,0,1837.3,90,Yes
Holly's Wilde Autofahrt,Holiday Park,Steel,28,49.3,0,1213.9,94,No
Hero,Flamingo Land Theme Park & Zoo,Steel,25.7,50,0,1282.8,0,Yes
Hercules,Dorney Park,Wood,65,95,151,4000,135,No
Helix,Liseberg,Steel,62.1,134.5,0,4530.8,130,Yes
Hayabusa,Tokyo SummerLand,Steel,60.3,137.8,124.67,2559.1,108,No
Hangman,Wild Adventures,Steel,55,115,95,2170,125,Yes
Hanging Roller Coaster,Crab Island Resort,Steel,49.7,108.3,95.2,2624.7,130,Yes
Hand Roller Coaster,Harbin Amusement Park,Steel,49.7,108.3,95.2,2624.7,130,Yes
Gwazi,Lion Park Resort,Steel,47.9,80.4,0,1942.3,120,Yes
Green Lantern: First Flight,Six Flags Magic Mountain,Steel,37,107,0,825,0,No
Green Lantern,Six Flags Great Adventure,Steel,63,154,144,4155,150,Yes
Great American Scream Machine,Six Flags Great Adventure,Steel,68,173,155,3800,140,Yes
Gotham City Gauntlet Escape from Arkham Asylum,Six Flags New England,Steel,28,49.3,0,1213.9,92,No
Goliath,Six Flags Magic Mountain,Steel,85,235,255,4500,180,No
Goliath,Six Flags New England,Steel,65.6,191.6,177,1204,92,Yes
Golden Whirlwind,Fantawild Dream Park,Steel,43.5,75.5,0,1624,90,Yes
GodistEget,KolmErden,Steel,24.9,26.3,0,623.3,0,No
Gliding Dragon,People's Park,Steel,20.5,23,0,649.6,0,No
Giant Inverted Boomerang,Jin Jiang Action Park,Steel,65.6,191.6,177,1204,92,Yes
GateKeeper,Cedar Point,Steel,67,170,164,4164,160,Yes
Fury 325,Carowinds,Steel,95,325,320,6602,0,No
FunCoaster,Funplex,Steel,26.7,36.1,0,1017.1,100,No
Fujiyama,Fuji-Q Highlands,Steel,80.8,259.2,229.7,6708.67,216,No
Freischytz,Bayern Park,Steel,49.7,78.8,0,1584.7,0,Yes
Freestyle,Cavallino Matto,Steel,51,88,84,2210,92,Yes
Formula Rossa,Ferrari World Abu Dhabi,Steel,149.1,170.6,0,6561.7,0,No
Fly Over Mediterranean,Happy Valley,Steel,52.8,101.7,98.4,2477,0,No
Flug der Demonen,Heide Park Resort,Steel,62.1,131.3,0,2532.8,180,Yes
Flash,Lewa Adventure,Steel,71.5,200.2,190.3,4176.5,128,Yes
Famous Jack,Bagatelle,Steel,29.1,42.7,0,1377.9,90,No
FamilyCo Express,Happy Valley,Steel,43.5,49.3,0,1036.8,47,Yes
Family Coaster,ViaSea,Steel,43.5,65.6,0,1902.9,0,No
Falcon,Duinrell,Steel,43.5,72.2,0,1184.4,0,Yes
Extreme Rusher,Happy Valley,Steel,83,170.6,196.8,2788.8,0,No
Energy Roller Coaster,Energylandia,Steel,28.5,42.7,0,1099.1,0,No
El Loco,Adventuredome,Steel,45,90,0,1300,73,Yes
Dwervelwind,Toverland,Steel,43.5,65.6,0,1640.4,112,No
Dream Coaster,Dream City,Steel,43.5,82,0,1263.1,45,Yes
Dragon Roller Coaster,Energylandia,Steel,46.6,63.3,0,1486.3,0,No
Dragon Rider,Floraland,Steel,46.6,105,0,2585.3,160,Yes
Dragon in Clouds,Happy Valley,Steel,53.7,117.8,111.8,2454.1,92,Yes
Dizz,Bobbejaanland,Steel,34.2,55.8,0,1410.8,0,No
Diamondback,Kings Island,Steel,80,230,215,5282,180,No
Diabolik,Movieland Park,Steel,50,131.3,0,1013.8,90,Yes
Desperado,Buffalo Bill's Resort & Casino,Steel,80,209,225,5843,163,No
Deja Vu,Six Flags Great America,Steel,65.6,191.5,177,1204,92,Yes
Deep Space,Adlabs Imagica,Steel,44.7,52.5,0,1574.8,0,Yes
Dare Devil Dive,Six Flags Over Georgia,Steel,52,95,0,2099,0,Yes
Crazy Train,Gulliver's Warrington,Steel,24.6,30.2,0,764.4,53,No
Crazy Mouse,Dreamland,Steel,29.1,42.7,0,1377.9,90,No
Crazy Coaster,Loca Joy Holiday Theme Park,Steel,52.8,108.3,0,2870.8,0,Yes
Corkscrew,Silverwood Theme Park,Steel,46,70,62,1250,0,Yes
Comet,Hersheypark,Wood,50,84,78,3360,105,No
Colossus,Six Flags Magic Mountain,Wood,62,125,115,4325,150,No
Colorful Six Ring Roller Coaster,Weihe Park,Steel,49.7,109.9,0,2395,0,Yes
Coe Chulainn,Tayto Park,Wood,55.9,105,105.7,3582.7,165,No
Cobra,Conny-Land,Steel,52.8,137.8,0,705.4,0,Yes
Coaster Thrill Ride,Puyallup Fair,Wood,50,55,52,2650,105,No
Clouds of Fairyland,World Joyland,Steel,65.3,151.6,0,492.2,60,Yes
Cheetah Hunt,Busch Gardens Tampa,Steel,60,102,130,4429,0,Yes
Cheetah,Wild Adventures,Wood,52,92,90,2680,0,No
Chang,Six Flags Kentucky Kingdom,Steel,63,154,144,4155,180,Yes
Carolina Cobra,Carowinds,Steel,47,116.5,0,935,108,Yes
Canyon Blaster,Adventuredome,Steel,41,94,66,2423,60,Yes
Cannon Ball,Lake Winnepesaukah,Wood,50,70,70,2272,0,No
Cannibal,Lagoon,Steel,70,208,0,2735,150,Yes
Cagliostro,Rainbow MagicLand,Steel,36,55.8,0,1410.8,75,No
BuzzSaw,Dreamworld,Steel,65.3,151.6,0,492.2,50,Yes
Bumeran,Parque Diversiones,Steel,47,116.5,0,935,108,Yes
Boss,Six Flags St. Louis,Wood,66.3,122,150,5051,0,No
Boomerang,Six Flags St. Louis,Steel,47,116.5,0,935,108,Yes
Blue Streak,Cedar Point,Wood,40,78,72,2558,105,No
blue fire Megacoaster,Europa Park,Steel,62.1,124.7,0,3464.6,150,Yes
Big One,Big Sheep,Steel,26.8,48.3,0,1194.3,60,No
Big Air,E-DA Theme Park,Steel,67.1,209.3,0,541.3,0,No
Beast,Paramount's Kings Island,Wood,64.8,105,141,7400,220,No
Batman: The Ride,Six Flags Fiesta Texas,Steel,38,120,54,1019,0,No
Batman Knight Flight,Six Flags Worlds of Adventure,Steel,65,157,148,4210,0,Yes
Banshee,Kings Island,Steel,68,167,150,4124,160,Yes
Bad Trip,Europark,Steel,29.1,45.9,0,1377.9,0,No
Astro Express,Planet Infiniti,Steel,29.1,34.8,0,990.8,0,Yes
Apollo's Chariot,Busch Gardens Williamsburg,Steel,73,170,210,4882,135,No
Apocalypse the Ride,Six Flags Magic Mountain,Wood,50.1,95,87.3,2877,180,No
Apocalypse,Six Flags America,Steel,55,100,90,2900,120,Yes
Apocalypse,Lunapark,Steel,40,75,68,2400,0,Yes
Anubis: The Ride,Plopsaland De Panne,Steel,55.9,111.6,0,1968.5,0,Yes
American Eagle,Six Flags Great America,Wood,66,127,147,4650,143,No
Alpengeist,Busch Gardens Williamsburg,Steel,67,195,170,3828,190,Yes
Aladdin Coaster,Sinbad Land,Steel,29.1,42.7,0,1377.9,135,No
Afterburner,Fun Spot,Steel,45,56,47,635,66,Yes
Acrobat,Nagashima Spa Land,Steel,55.9,141.1,0,3349.8,180,Yes
Abyss,Adventure World,Steel,52.8,98.4,100,2066.9,120,Yes
